nombreorigen;cantidad;poblacion1000m
1;1949;26807
2;26297;31353
3;1017;159205
4;15958;64889
5;465;64889
6;20017;82509
7;299;86565
8;1353;115200
9;169;18653
10;738;46551
11;670;38685
12;881;142388
13;504;24133
14;770;128610
15;2676;34529
16;184;114678
17;595;70841
18;1222;58600
19;633;42368
20;43537;98191
21;1221;32022
22;1135;53119
23;6824;72725
24;475;103540
25;1438;159892
26;1305;131941
27;400;48956
28;4065;74977
29;2512;148705
30;467;119081
31;852;124004
32;726;99006
33;34429;84591
34;2543;30374
35;599;113729
36;4969;11257
37;808;121743
38;740;95264
39;728;70716
40;345;117234
41;15237;109511
42;508;58930
43;24800;57583
44;43765;121734
45;586;103340
46;19292;119914
47;48125;131708
48;31706;65287
49;7325;46845
50;509;46845
51;994;120650
52;3381;141258
53;861;46080
54;35594;120828
55;13742;89917
56;10827;132189
57;4969;140613
58;30119;138356
59;30152;93104
60;2457;82361
61;1003;97732
62;4;124807
63;8646;22029
64;219;108184
65;1056;33732
66;96392;50396
67;823;38496
68;816;143726
69;857;77370
70;476;102442
71;2342;30755
72;38;60442
73;17684;64007
74;274;76289
75;30569;82607
76;1253;59082
77;479;53907
78;133;24591
79;892;112699
