viajes;distancia
1949;200
26297;650
1017;350
465;150
15958;150
695;1400
20017;550
299;550
37;1200
1353;500
169;1000
738;1000
670;550
881;900
504;200
770;200
2676;50
184;550
595;50
1222;650
633;100
43537;200
938;350
981;250
1221;950
1135;100
6824;1000
475;700
1438;300
1305;50
400;50
4065;950
2512;250
467;600
743;100
852;900
17;600
726;600
34429;50
2543;550
599;800
4969;1300
730;350
808;450
2369;280
740;500
5;250
1497;10
728;10
345;450
15237;350
508;280
24800;150
43765;0
30212;10
586;650
19292;1000
48125;800
31706;1400
509;1900
7325;1900
994;720
826;350
861;100
35594;250
13742;450
10827;950
4969;650
30119;350
30152;100
2457;600
1003;1200
4;350
8646;200
5855;100
36723;900
219;1100
1056;900
96392;50
823;100
7;1100
816;1200
857;500
476;350
1;500
2342;200
38;1400
17684;400
274;600
30569;100
721;200
1253;300
479;400
892;450
